models,ReX,ShapleyValues,KernelShap,Saliency,DeepLift,lrp,InputXGrad,IntegratedGrad
and.pth,0.0,0.08779535049789025,0.3513330630737376,0.10335021638364844,0.06530478153458474,0.5462923082951526,0.5462923179121352,0.08626769047824899
or.pth,0.0,0.09724300598808609,0.3453452885270956,0.11003857764204258,0.06966696984447703,0.1657906775589218,0.1657906724699686,0.10809183229569357
xor.pth,0.0,0.1931148808715254,0.37991776870566796,0.13427758743931922,0.06029020525159931,0.3045462886183906,0.30454628921372773,0.18244576961733483
xor_and_xor.pth,0.07601010337454189,0.22465336835904795,0.3786333737544857,0.09815668936042388,0.08206505191128745,0.34912820291479807,0.34912819297567915,0.1666624040071664
xor_and_3.pth,0.027254649692093028,0.19418853735618288,0.3537841720612956,0.13911000429632464,0.102062562703412,0.46292211246022846,0.46292211071395406,0.21117912188382362
xor_and_4.pth,0.04150987420685856,0.2492314968052119,0.3652520759124877,0.10602514891439606,0.08625040446404413,0.3924209878619989,0.39242098158500344,0.2543012493423666
xor_and_5.pth,0.07284882196570557,0.2464788799521122,0.3437593863894489,0.15231993037859407,0.1514758870569558,0.48189948497328966,0.4818994872005783,0.24186165782511213
xor_and_6.pth,0.15004467422792622,0.24816313390484376,0.3205074181134357,0.11623625446051779,0.1343804694750781,0.4177682003575092,0.4177682042619742,0.254788220919105
xor_and_7.pth,0.18414084802675576,0.22080869511659126,0.31586911656073285,0.15591907238482308,0.18647547850773255,0.5030455819620235,0.5030455847495026,0.22851789308265225
xor_and_8.pth,0.14845729287895842,0.23478969466551286,0.2967225368110309,0.13803983272484735,0.13390681355871178,0.35681035754862256,0.35681035747303813,0.21321452513577877
xor_and_9.pth,0.1816000932130473,0.23060015375388543,0.3151690671474734,0.16387620114478257,0.16472269811851442,0.5052178595167309,0.5052178589179755,0.22623260185801475
xor_and_10.pth,0.1659380530809887,0.26313170391809315,0.2967605735281995,0.13695355504944645,0.14697667886409724,0.4148425304412386,0.41484253206120925,0.2772536112346925
and_or_3.pth,0.03372825779756088,0.13019395871897382,0.32725510948155107,0.16335607730395105,0.0995294139756969,0.25531630861831567,0.25531631099053037,0.14230981420217476
and_or_4.pth,0.04389539416851117,0.1443091730573061,0.3443733690697489,0.14545823808407268,0.08929594512472215,0.49579958656429196,0.4957995809105028,0.13588238800121172
and_or_5.pth,0.06989315111023327,0.1523626379130227,0.3193945714590145,0.17996246314509487,0.14017876709117932,0.22595351799256222,0.2259535162368302,0.1621644566528368
and_or_6.pth,0.07105651312161107,0.1731372625536876,0.34524017108085675,0.15124886727609288,0.1171536442099174,0.5433644652703404,0.5433644512275496,0.16464786127509184
and_or_7.pth,0.06773927039197228,0.17056837881199444,0.3284102428469759,0.185426921094257,0.14491313412233991,0.2573651542609636,0.25736515850838587,0.16933445844812373
and_or_8.pth,0.07978995451163932,0.14600625461473432,0.31452977672099863,0.14948800684392602,0.12170833202298806,0.4838431137142797,0.4838431069030467,0.14644715109479226
and_or_9.pth,0.08088581795816423,0.15566172685116159,0.3348004107497463,0.16934388125872438,0.12862272386013976,0.2664280442639542,0.2664280425323011,0.1630912952413152
and_or_10.pth,0.07763200210848428,0.1640006881860393,0.33318309482489417,0.18015339701871255,0.14145548172269065,0.5282177927129377,0.5282177898943535,0.16337078186273862
