models,ReX,ShapleyValues,KernelShap,Saliency,DeepLift,lrp,InputXGrad,IntegratedGrad
and.pth,8.19,4.376,0.854,6.778,7.818,0.12,0.12,4.264
or.pth,8.19,4.13,0.788,5.586,6.3,4.096,4.096,4.102
xor.pth,8.19,0.21,0.108,5.554,6.608,0.0,0.0,0.268
xor_and_xor.pth,6.022,0.38,0.086,6.202,5.932,0.334,0.334,2.128
xor_and_3.pth,6.464,2.054,0.388,2.046,2.24,0.0,0.0,2.048
xor_and_4.pth,6.14,0.096,0.04,1.682,1.842,0.0,0.0,0.28
xor_and_5.pth,4.918,2.078,0.39,3.064,2.048,0.0,0.0,2.048
xor_and_6.pth,3.436,0.232,0.03,1.964,1.428,0.0,0.0,0.43
xor_and_7.pth,3.146,2.092,0.42,2.846,2.176,0.0,0.0,2.048
xor_and_8.pth,3.132,0.336,0.022,2.266,2.186,0.0,0.0,0.364
xor_and_9.pth,3.504,2.052,0.384,3.268,2.616,0.0,0.0,2.358
xor_and_10.pth,3.194,0.09,0.044,2.088,1.024,0.002,0.002,0.238
and_or_3.pth,6.686,3.274,0.588,3.48,5.12,3.072,3.072,3.09
and_or_4.pth,5.978,2.72,0.482,3.592,4.342,0.0,0.0,2.754
and_or_5.pth,5.476,2.956,0.512,3.546,4.58,2.818,2.818,2.912
and_or_6.pth,5.46,2.788,0.552,3.816,4.344,0.01,0.01,2.816
and_or_7.pth,5.418,2.892,0.586,2.752,3.694,2.752,2.752,2.948
and_or_8.pth,5.362,3.056,0.524,4.172,5.102,0.024,0.024,2.838
and_or_9.pth,5.388,3.056,0.476,2.56,3.77,2.734,2.734,2.736
and_or_10.pth,5.38,2.88,0.514,3.2,3.684,0.052,0.052,2.892
