models,ReX,ShapleyValues,KernelShap,Saliency,DeepLift,lrp,InputXGrad,IntegratedGrad
and.pth,0.992,0.88,0.068,0.842,0.958,0.136,0.136,0.972
or.pth,0.986,0.878,0.054,0.742,0.806,0.642,0.642,0.79
xor.pth,1.0,0.692,0.024,0.684,0.826,0.198,0.198,0.65
xor_and_xor.pth,0.638,0.536,0.006,0.774,0.734,0.314,0.314,0.632
xor_and_3.pth,0.754,0.404,0.03,0.23,0.25,0.002,0.002,0.256
xor_and_4.pth,0.782,0.266,0.002,0.238,0.256,0.0,0.0,0.312
xor_and_5.pth,0.582,0.296,0.038,0.374,0.264,0.0,0.0,0.264
xor_and_6.pth,0.398,0.152,0.002,0.268,0.182,0.0,0.0,0.25
xor_and_7.pth,0.344,0.262,0.034,0.334,0.256,0.0,0.0,0.29
xor_and_8.pth,0.368,0.162,0.004,0.262,0.268,0.0,0.0,0.27
xor_and_9.pth,0.426,0.32,0.038,0.4,0.31,0.0,0.0,0.332
xor_and_10.pth,0.384,0.15,0.004,0.242,0.122,0.0,0.0,0.134
and_or_3.pth,0.774,0.704,0.05,0.458,0.65,0.446,0.446,0.65
and_or_4.pth,0.692,0.512,0.032,0.432,0.524,0.008,0.008,0.56
and_or_5.pth,0.63,0.506,0.042,0.416,0.538,0.382,0.382,0.536
and_or_6.pth,0.648,0.474,0.036,0.46,0.52,0.048,0.048,0.558
and_or_7.pth,0.662,0.464,0.044,0.342,0.458,0.486,0.486,0.464
and_or_8.pth,0.676,0.576,0.05,0.538,0.65,0.088,0.088,0.662
and_or_9.pth,0.642,0.518,0.042,0.334,0.47,0.334,0.334,0.466
and_or_10.pth,0.664,0.486,0.042,0.382,0.472,0.032,0.032,0.458
