models ShapleyValues KernelShap Saliency DeepLift lrp InputXGrad IntegratedGrad
and.pth 1.0 1.0 0.81689453125 0.98779296875 0.107177734375 0.107177734375 0.9892578125
or.pth 1.0 1.0 0.75 1.0 0.75 0.75 1.0
xor.pth 0.25 0.250244140625 0.96923828125 0.25 0.251220703125 0.251220703125 0.25
xor_and_xor.pth 0.4599609375 0.39990234375 0.8857421875 0.388427734375 0.316650390625 0.316650390625 0.443359375
xor_and_3.pth 0.53564453125 0.505126953125 0.875 0.607666015625 0.125 0.125 0.62255859375
xor_and_4.pth 0.29541015625 0.2578125 0.40673828125 0.319580078125 0.06201171875 0.06201171875 0.320556640625
xor_and_5.pth 0.445556640625 0.342041015625 0.591796875 0.322265625 0.0 0.0 0.29150390625
xor_and_6.pth 0.203857421875 0.1689453125 0.324462890625 0.2001953125 0.000244140625 0.000244140625 0.200927734375
xor_and_7.pth 0.379150390625 0.364501953125 0.409423828125 0.354248046875 0.0 0.0 0.35986328125
xor_and_8.pth 0.1728515625 0.159423828125 0.198974609375 0.127685546875 0.0 0.0 0.125
xor_and_9.pth 0.40771484375 0.373291015625 0.443359375 0.378662109375 0.0 0.0 0.39453125
xor_and_10.pth 0.188232421875 0.156494140625 0.298095703125 0.171630859375 0.0 0.0 0.1875
and_or_3.pth 1.0 0.999267578125 0.700927734375 1.0 0.572021484375 0.572021484375 1.0
and_or_4.pth 0.93994140625 0.89306640625 0.581787109375 0.871826171875 0.052001953125 0.052001953125 0.8515625
and_or_5.pth 0.859619140625 0.822265625 0.6201171875 0.849365234375 0.593994140625 0.593994140625 0.861328125
and_or_6.pth 0.7607421875 0.723876953125 0.462890625 0.705322265625 0.146728515625 0.146728515625 0.692138671875
and_or_7.pth 0.845458984375 0.79833984375 0.58544921875 0.79833984375 0.473876953125 0.473876953125 0.793701171875
and_or_8.pth 0.60546875 0.56494140625 0.57080078125 0.577880859375 0.013427734375 0.013427734375 0.565673828125
and_or_9.pth 0.8076171875 0.777099609375 0.523681640625 0.745361328125 0.515380859375 0.515380859375 0.7470703125
and_or_10.pth 0.78076171875 0.74609375 0.59375 0.70947265625 0.215087890625 0.215087890625 0.711181640625
